S.No,item,itemLabel
96,http://www.wikidata.org/entity/Q61470879,Venkateswara Rao Yadlapalli
97,http://www.wikidata.org/entity/Q72795810,Satyavrata Samavedi
98,http://www.wikidata.org/entity/Q96652790,Viishvek
99,http://www.wikidata.org/entity/Q2671553,Ajay Bhatt
100,http://www.wikidata.org/entity/Q100316110,N. D. Appachan
101,http://www.wikidata.org/entity/Q6323474,K. K. Srinivasan
102,http://www.wikidata.org/entity/Q7499362,Shivdeep Lande
103,http://www.wikidata.org/entity/Q7631269,Subhav Sinha
104,http://www.wikidata.org/entity/Q4746846,Amit Goyal
105,http://www.wikidata.org/entity/Q12458917,Sobha Singh
106,http://www.wikidata.org/entity/Q16221078,Sreejesh Nair
107,http://www.wikidata.org/entity/Q16744934,C. P. Sadashivaiah
108,http://www.wikidata.org/entity/Q111152243,Raghbir Singh Khandpur
109,http://www.wikidata.org/entity/Q8051449,Yelavarthy Nayudamma
110,http://www.wikidata.org/entity/Q104119183,Venkatrao K. Badami
111,http://www.wikidata.org/entity/Q180385,Verghese Kurien
112,http://www.wikidata.org/entity/Q22006945,Umesh Mishra
113,http://www.wikidata.org/entity/Q4764668,Anil Sahasrabudhe
114,http://www.wikidata.org/entity/Q4805151,Ashish Manchanda
115,http://www.wikidata.org/entity/Q4834071,B. Jayant Baliga
116,http://www.wikidata.org/entity/Q16143126,Kiran Seth
117,http://www.wikidata.org/entity/Q16846874,N. J. Rao
118,http://www.wikidata.org/entity/Q6323404,K. J. Singh
119,http://www.wikidata.org/entity/Q28465322,Surendra Prasad
120,http://www.wikidata.org/entity/Q7387579,S. K. Jain
121,http://www.wikidata.org/entity/Q113107853,Sandip Tiwari
122,http://www.wikidata.org/entity/Q8069886,Zeyaur R. Khan
123,http://www.wikidata.org/entity/Q330168,Suhas Patankar
124,http://www.wikidata.org/entity/Q454696,Amar Bose
125,http://www.wikidata.org/entity/Q13110623,M. R. Rajakrishnan
126,http://www.wikidata.org/entity/Q3595477,Ali Manikfan
127,http://www.wikidata.org/entity/Q14394037,Midhun Jith
128,http://www.wikidata.org/entity/Q25999593,Palghat Vaidyanathan
129,http://www.wikidata.org/entity/Q4648374,A. S. Rao
130,http://www.wikidata.org/entity/Q4700762,Akhlesh Lakhtakia
131,http://www.wikidata.org/entity/Q4802488,Arvind Mohan Kayastha
132,http://www.wikidata.org/entity/Q4854650,Bandlamudi Subba Rao
133,http://www.wikidata.org/entity/Q26465944,V. P. Krishnakumar
134,http://www.wikidata.org/entity/Q17285341,Makrand Desai
135,http://www.wikidata.org/entity/Q6712261,M.R. Srinivasan
136,http://www.wikidata.org/entity/Q28474399,B. D. Kulkarni
137,http://www.wikidata.org/entity/Q28481221,Vivek Borkar
138,http://www.wikidata.org/entity/Q28606460,Subhasis Chaudhuri
139,http://www.wikidata.org/entity/Q17901070,Bal Dattatreya Tilak
140,http://www.wikidata.org/entity/Q7295454,Ratan Kumar Sinha
141,http://www.wikidata.org/entity/Q18155538,Raj Mittra
142,http://www.wikidata.org/entity/Q19667648,Mohan Singh Kothari
143,http://www.wikidata.org/entity/Q21621177,Arsh Shah Dilbagi
144,http://www.wikidata.org/entity/Q22277325,V. K. Chaturvedi
145,http://www.wikidata.org/entity/Q2130862,Rangaswamy Srinivasan
146,http://www.wikidata.org/entity/Q12990706,Arja Janardhana Rao
147,http://www.wikidata.org/entity/Q4648404,A. Sivathanu Pillai
148,http://www.wikidata.org/entity/Q4795479,Arogyaswami Paulraj
149,http://www.wikidata.org/entity/Q4805732,Ashok Gadgil
150,http://www.wikidata.org/entity/Q5512393,G. Parameshwara
151,http://www.wikidata.org/entity/Q16252188,A. S. Laxmi Narayanan
152,http://www.wikidata.org/entity/Q28673306,Ashish Kishore Lele
153,http://www.wikidata.org/entity/Q30819387,Nilesh Gupta
154,http://www.wikidata.org/entity/Q21663052,Boby John
155,http://www.wikidata.org/entity/Q22004688,Debatosh Guha
156,http://www.wikidata.org/entity/Q23542564,Vishwani Agrawal
157,http://www.wikidata.org/entity/Q3497331,Balram Jakhar
158,http://www.wikidata.org/entity/Q58057393,Chitti
159,http://www.wikidata.org/entity/Q6323682,K. Nammalvar
160,http://www.wikidata.org/entity/Q17708993,A G Ramakrishnan
161,http://www.wikidata.org/entity/Q28729641,Ranjan Mallik
162,http://www.wikidata.org/entity/Q39057683,Sivasubramanian Srikantan
163,http://www.wikidata.org/entity/Q462446,C. Kumar N. Patel
164,http://www.wikidata.org/entity/Q29472828,Subramanian Ramanathan
165,http://www.wikidata.org/entity/Q12446452,Maneklal Sankalchand Thacker
166,http://www.wikidata.org/entity/Q3442375,Kailash Satyarthi
167,http://www.wikidata.org/entity/Q26844726,Sai Shravanam
168,http://www.wikidata.org/entity/Q7117117,P. A. Venkatachalam
169,http://www.wikidata.org/entity/Q48732972,Bhupendrabhai Patel
170,http://www.wikidata.org/entity/Q21643009,Sandeep Kurissery
171,http://www.wikidata.org/entity/Q16225449,Hridayeshwar Singh Bhati
172,http://www.wikidata.org/entity/Q27973934,D. Srinivasa Reddy
173,http://www.wikidata.org/entity/Q17484226,N. Harikumar
174,http://www.wikidata.org/entity/Q28595350,Soumitro Banerjee
175,http://www.wikidata.org/entity/Q28827872,Sinoy Joseph
176,http://www.wikidata.org/entity/Q18619477,P. M. Satheesh
177,http://www.wikidata.org/entity/Q20639296,Gurcharan Singh Kalkat
178,http://www.wikidata.org/entity/Q42898419,Neelesh B. Mehta
179,http://www.wikidata.org/entity/Q22670785,Samares Kar
180,http://www.wikidata.org/entity/Q64667239,Chintakindi Mallesham
181,http://www.wikidata.org/entity/Q65232024,Niranjan Ek
182,http://www.wikidata.org/entity/Q84670320,Sankar Sen
183,http://www.wikidata.org/entity/Q37644615,Dadaji Ramaji Khobragade
184,http://www.wikidata.org/entity/Q47038386,Dipankar Raychaudhuri
185,http://www.wikidata.org/entity/Q31726220,Bhabesh Chandra Bhaduri
186,http://www.wikidata.org/entity/Q94709925,Sundaram Verma
187,http://www.wikidata.org/entity/Q100487454,Regunatha Pichai
188,http://www.wikidata.org/entity/Q90093051,B. B. Desai
189,http://www.wikidata.org/entity/Q48472875,Jim Jacob
190,http://www.wikidata.org/entity/Q102198215,P. R. Kumar
191,http://www.wikidata.org/entity/Q4751235,Anand
192,http://www.wikidata.org/entity/Q107735627,Pranab Kumar Mukhopadhyay
193,http://www.wikidata.org/entity/Q4850411,Baldev Raj
194,http://www.wikidata.org/entity/Q7898155,Upadrasta Ramamurty
195,http://www.wikidata.org/entity/Q15783490,Anil K. Jain
196,http://www.wikidata.org/entity/Q27924832,Sonam Wangchuk
197,http://www.wikidata.org/entity/Q16019417,Bernard Holden
198,http://www.wikidata.org/entity/Q110741677,Shantanu P. Naidu
199,http://www.wikidata.org/entity/Q112210843,Asad M. Madni
200,http://www.wikidata.org/entity/Q106648189,S. P. Chakravarti
201,http://www.wikidata.org/entity/Q7259325,Pulickel Ajayan
202,http://www.wikidata.org/entity/Q99481665,Sangram Keshari Senapati
203,http://www.wikidata.org/entity/Q7565091,Souradyuti Paul
204,http://www.wikidata.org/entity/Q111688273,M. K. Mishra
205,http://www.wikidata.org/entity/Q7144338,Patcha Ramachandra Rao
206,http://www.wikidata.org/entity/Q7387476,S. G. Balekundri
207,http://www.wikidata.org/entity/Q113257415,Taraprakash Vartak
208,http://www.wikidata.org/entity/Q103030743,Manohar P. Kamat
209,http://www.wikidata.org/entity/Q7499081,Shishir Hathwar
210,http://www.wikidata.org/entity/Q7633787,Sudhir Ahuja
211,http://www.wikidata.org/entity/Q310773,Abdul Qadeer Khan
212,http://www.wikidata.org/entity/Q3016433,Darogha Ubbas Alli
213,http://www.wikidata.org/entity/Q3894853,Rishab Aiyer Ghosh
214,http://www.wikidata.org/entity/Q19898509,Govindan Sundararajan
215,http://www.wikidata.org/entity/Q4741034,Ambarish Srivastava
216,http://www.wikidata.org/entity/Q4916187,Biren Mookerjee
217,http://www.wikidata.org/entity/Q15459580,Rustum Roy
218,http://www.wikidata.org/entity/Q111032406,Raman Unnikrishnan
219,http://www.wikidata.org/entity/Q15990096,Mathai Joseph
220,http://www.wikidata.org/entity/Q6712964,M. P. Parameswaran
221,http://www.wikidata.org/entity/Q7041312,Nitin Paranjpe
222,http://www.wikidata.org/entity/Q7237405,Pradeep Khosla
223,http://www.wikidata.org/entity/Q19519319,Man Mohan Sondhi
224,http://www.wikidata.org/entity/Q21162371,Ismail Valera
225,http://www.wikidata.org/entity/Q3710186,Poondi Kumaraswamy
226,http://www.wikidata.org/entity/Q4673427,Achal Das Bohra
227,http://www.wikidata.org/entity/Q26370,Raja Ramanna
228,http://www.wikidata.org/entity/Q16337187,Anil Kumar Chopra
229,http://www.wikidata.org/entity/Q119947836,Ganesh Kumar Subramanian
230,http://www.wikidata.org/entity/Q6965777,Narendra Dhar Jayal
231,http://www.wikidata.org/entity/Q6983478,Nazir Hoosein
232,http://www.wikidata.org/entity/Q7025149,Nicholas Byron Cavadias
233,http://www.wikidata.org/entity/Q7409527,Samir Mitragotri
234,http://www.wikidata.org/entity/Q7426870,Satya Nadella
235,http://www.wikidata.org/entity/Q8064656,Zahid Ali Akbar Khan
236,http://www.wikidata.org/entity/Q122960999,Srijan Mallick
237,http://www.wikidata.org/entity/Q24055641,V. Sasi
238,http://www.wikidata.org/entity/Q3632999,Vaman Srinivas Kudva
239,http://www.wikidata.org/entity/Q4802134,Arun Raaza
240,http://www.wikidata.org/entity/Q6148181,Jamshed Akhtar
241,http://www.wikidata.org/entity/Q124637865,Satyaranjan Praharaj
242,http://www.wikidata.org/entity/Q7273746,R. K. Baliga
243,http://www.wikidata.org/entity/Q18016159,Appu Kuttan
244,http://www.wikidata.org/entity/Q7929190,Vijay Pandhare
245,http://www.wikidata.org/entity/Q20160834,Amar Jindal
246,http://www.wikidata.org/entity/Q47079774,Dr. Piyush Dholariya
247,http://www.wikidata.org/entity/Q20685254,V. Narayana Rao
248,http://www.wikidata.org/entity/Q21483944,Yogesh Mohan Tiwari
249,http://www.wikidata.org/entity/Q28172124,Kshitish Ranjan Chakravorty
250,http://www.wikidata.org/entity/Q60736462,Vivek Shanbhag
251,http://www.wikidata.org/entity/Q60655510,Sampat Ramteke
252,http://www.wikidata.org/entity/Q57866707,Alex Pappachen James
253,http://www.wikidata.org/entity/Q88234573,Vishal Jain
254,http://www.wikidata.org/entity/Q97016476,Manu Bhatia
255,http://www.wikidata.org/entity/Q4778018,Anwar Ali
256,http://www.wikidata.org/entity/Q5673817,Harshad Bhadeshia
257,http://www.wikidata.org/entity/Q6203258,Jitendra Malik
258,http://www.wikidata.org/entity/Q111048439,Shishir Dey
259,http://www.wikidata.org/entity/Q4777893,Anurag Kumar
260,http://www.wikidata.org/entity/Q92965,Aravind Joshi
261,http://www.wikidata.org/entity/Q325470,Vikram Sarabhai
262,http://www.wikidata.org/entity/Q741700,M. Visvesvaraya
263,http://www.wikidata.org/entity/Q114607307,Suhail Sharma
264,http://www.wikidata.org/entity/Q3525300,Ram Puniyani
265,http://www.wikidata.org/entity/Q4152214,Sudhir Gupta
266,http://www.wikidata.org/entity/Q15440661,Mathukumalli Vidyasagar
267,http://www.wikidata.org/entity/Q16215695,Sachin Bansal
268,http://www.wikidata.org/entity/Q16935143,C. G. Krishnadas Nair
269,http://www.wikidata.org/entity/Q7117498,P. S. Ayyaswamy
270,http://www.wikidata.org/entity/Q7293163,Ranjit Lal Jetley
271,http://www.wikidata.org/entity/Q7586403,Srikumar Banerjee
272,http://www.wikidata.org/entity/Q8046156,Y M Reddy
273,http://www.wikidata.org/entity/Q19667807,N. Prabhakar
274,http://www.wikidata.org/entity/Q1911321,Maurice Frydman
275,http://www.wikidata.org/entity/Q5247845,Debasis Mitra
276,http://www.wikidata.org/entity/Q333460,Ratan Tata
277,http://www.wikidata.org/entity/Q4288715,Satyendra Dubey
278,http://www.wikidata.org/entity/Q4805764,Ashok Malhotra
279,http://www.wikidata.org/entity/Q15713163,Paritosh Pandya
280,http://www.wikidata.org/entity/Q27063027,Sunil K. Agrawal
281,http://www.wikidata.org/entity/Q16105462,T. C. Rao
282,http://www.wikidata.org/entity/Q16148001,Bir Bhanu
283,http://www.wikidata.org/entity/Q6124272,Jaishankar Menon
284,http://www.wikidata.org/entity/Q17009204,Dinesh Mohan
285,http://www.wikidata.org/entity/Q6381108,Kazi Zulkader Siddiqui
286,http://www.wikidata.org/entity/Q28382604,Shrikant Lele
287,http://www.wikidata.org/entity/Q6951597,N. Ahmed
288,http://www.wikidata.org/entity/Q19667086,Lokesh Kumar Singhal
289,http://www.wikidata.org/entity/Q321456,"Brian Robertson, 1st Baron Robertson of Oakridge"
290,http://www.wikidata.org/entity/Q21598068,A. S. Arya
291,http://www.wikidata.org/entity/Q33134612,Anand Chowdhary
292,http://www.wikidata.org/entity/Q1148585,Parthiva Sureshwaren
293,http://www.wikidata.org/entity/Q13646966,Ganti Prasada Rao
294,http://www.wikidata.org/entity/Q3529958,Rajagopala Chidambaram
295,http://www.wikidata.org/entity/Q4747036,Amjad Parvez
296,http://www.wikidata.org/entity/Q15430404,K A Krishnamurthy
297,http://www.wikidata.org/entity/Q16007598,Jagmal Raja Chauhan
298,http://www.wikidata.org/entity/Q6937277,Murali Chemuturi
299,http://www.wikidata.org/entity/Q7285572,Raja of Muktyala
300,http://www.wikidata.org/entity/Q7286340,Rajnesh Domalpalli
301,http://www.wikidata.org/entity/Q7288612,Ram Vinay Shahi
302,http://www.wikidata.org/entity/Q7371807,Rowan Rait Kerr
303,http://www.wikidata.org/entity/Q93151,Avinash Kak
304,http://www.wikidata.org/entity/Q11179906,Katepalli R. Sreenivasan
305,http://www.wikidata.org/entity/Q12988427,Subramaniam Ramadorai
306,http://www.wikidata.org/entity/Q3847508,Ernest Dunlop Swinton
307,http://www.wikidata.org/entity/Q4647575,A. B. Walawalkar
308,http://www.wikidata.org/entity/Q4647816,A. Gopalakrishnan
309,http://www.wikidata.org/entity/Q4750762,Anadish Pal
310,http://www.wikidata.org/entity/Q5203439,D. P. Kothari
311,http://www.wikidata.org/entity/Q15995420,Rajeev Rastogi
312,http://www.wikidata.org/entity/Q16105777,Damodar Sharma
313,http://www.wikidata.org/entity/Q16106433,Pradeep Rohatgi
314,http://www.wikidata.org/entity/Q6433942,Koteswara Rao
315,http://www.wikidata.org/entity/Q18921380,Narayanaswamy Balakrishnan
316,http://www.wikidata.org/entity/Q54572316,Boverianda Chinnappa
317,http://www.wikidata.org/entity/Q57079310,Sabu Thomas
318,http://www.wikidata.org/entity/Q27733910,R Vidyasagar Rao
319,http://www.wikidata.org/entity/Q28474470,Gundabathula Venkateswara Rao
320,http://www.wikidata.org/entity/Q12985838,P. V. Manickam Naicker
321,http://www.wikidata.org/entity/Q60736164,Amit Agrawal
322,http://www.wikidata.org/entity/Q114903161,Sidhartha Ghosh
323,http://www.wikidata.org/entity/Q72792722,Arvind Kumar
324,http://www.wikidata.org/entity/Q59811915,Sreyash Sarkar
325,http://www.wikidata.org/entity/Q67173514,Ashish Chanchlani
326,http://www.wikidata.org/entity/Q60021844,Muhammed Basheer
327,http://www.wikidata.org/entity/Q12975302,Ulo Senthamizh Kodai
328,http://www.wikidata.org/entity/Q104419217,Arpit Duphar
329,http://www.wikidata.org/entity/Q106372022,Ashish Bhatia
330,http://www.wikidata.org/entity/Q23761943,Madhu Pandit Dasa
331,http://www.wikidata.org/entity/Q16186537,S. P. Varma
332,http://www.wikidata.org/entity/Q6354986,Kalyanmoy Deb
333,http://www.wikidata.org/entity/Q28382569,Manohar Lal Munjal
334,http://www.wikidata.org/entity/Q7499319,Shivam Sai Gupta
335,http://www.wikidata.org/entity/Q60369798,Jay Prakash
336,http://www.wikidata.org/entity/Q13740274,K.D. Bagga
